UPDATE	12,18	bn:00079238n	http://babelnet.org/rdf/s00079238n	null
police	32,38	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
say	39,42	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
slain	43,48	bn:00084236v	http://babelnet.org/rdf/s00084236v	null
teen	49,53	bn:00001480n	http://babelnet.org/rdf/s00001480n	null
group	63,68	bn:00041942n	http://babelnet.org/rdf/s00041942n	null
downtown	69,77	bn:00014155n	http://babelnet.org/rdf/s00014155n	http://dbpedia.org/resource/Downtown
WBRC	80,84	bn:00303564n	http://babelnet.org/rdf/s00303564n	http://dbpedia.org/resource/WBRC
FOX6	85,89	bn:03542167n	http://babelnet.org/rdf/s03542167n	http://dbpedia.org/resource/Fox_6
News	90,94	bn:00047028n	http://babelnet.org/rdf/s00047028n	null
Birmingham , AL	97,112	bn:03737248n	http://babelnet.org/rdf/s03737248n	http://dbpedia.org/resource/Birmingham,_Alabama
police	126,132	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
say	137,140	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
teen	143,147	bn:00001480n	http://babelnet.org/rdf/s00001480n	null
shot	152,156	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
killed	161,167	bn:00090098v	http://babelnet.org/rdf/s00090098v	null
Tuesday afternoon	168,185	bn:00844586n	http://babelnet.org/rdf/s00844586n	http://dbpedia.org/resource/Tuesday_Afternoon
went with	194,203	bn:00082221v	http://babelnet.org/rdf/s00082221v	null
group of people	206,221	bn:00072536n	http://babelnet.org/rdf/s00072536n	http://dbpedia.org/resource/Social_group
purchase	225,233	bn:00084331v	http://babelnet.org/rdf/s00084331v	null
handgun	236,243	bn:00042808n	http://babelnet.org/rdf/s00042808n	http://dbpedia.org/resource/Handgun
Police	247,253	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
say	254,257	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
teen	262,266	bn:00001480n	http://babelnet.org/rdf/s00001480n	null
