CBS 58	12,18	bn:00747559n	Named Entity	[]	http://babelnet.org/rdf/s00747559n	http://dbpedia.org/resource/WDJT-TV
Multiple	21,29	bn:00056285n	Concept	[wn:05859991n]	http://babelnet.org/rdf/s00056285n	http://dbpedia.org/resource/Multiple_(mathematics)
Victims	30,37	bn:00079940n	Concept	[wn:10752093n]	http://babelnet.org/rdf/s00079940n	null
Shooting	44,52	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
Embassy Suites	67,81	bn:01221558n	Named Entity	[]	http://babelnet.org/rdf/s01221558n	http://dbpedia.org/resource/Embassy_Suites_Hotels
The City	84,92	bn:00019335n	Named Entity	[wn:08874273n]	http://babelnet.org/rdf/s00019335n	http://dbpedia.org/resource/City_of_London
Police	107,113	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
responded	114,123	bn:00092421v	Concept	[wn:00717358v]	http://babelnet.org/rdf/s00092421v	null
Embassy Suites Hotel	131,151	bn:01221558n	Named Entity	[]	http://babelnet.org/rdf/s01221558n	http://dbpedia.org/resource/Embassy_Suites_Hotels
Moorland	155,163	bn:00055828n	Concept	[wn:09358751n]	http://babelnet.org/rdf/s00055828n	http://dbpedia.org/resource/Moorland
Road	164,168	bn:00067975n	Concept	[wn:04096066n]	http://babelnet.org/rdf/s00067975n	http://dbpedia.org/resource/Road
reports	173,180	bn:00067181n	Concept	[wn:07218470n]	http://babelnet.org/rdf/s00067181n	http://dbpedia.org/resource/Report
shooting	186,194	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
approximately	198,211	bn:00114073r	Concept	[wn:00007015r]	http://babelnet.org/rdf/s00114073r	null
Officers	223,231	bn:00054972n	Concept	[wn:10317007n]	http://babelnet.org/rdf/s00054972n	http://dbpedia.org/resource/Officer_(armed_forces)
arrived	232,239	bn:00082788v	Concept	[wn:02005948v]	http://babelnet.org/rdf/s00082788v	null
scene	243,248	bn:00069550n	Concept	[wn:08645963n]	http://babelnet.org/rdf/s00069550n	null
discover	252,260	bn:00086708v	Concept	[wn:02154508v]	http://babelnet.org/rdf/s00086708v	null
party	283,288	bn:00060834n	Concept	[wn:08256968n]	http://babelnet.org/rdf/s00060834n	http://dbpedia.org/resource/Political_party
hotel	296,301	bn:00044967n	Concept	[wn:03542333n]	http://babelnet.org/rdf/s00044967n	http://dbpedia.org/resource/Hotel
numerous	307,315	bn:00105858a	Concept	[wn:01552419a]	http://babelnet.org/rdf/s00105858a	null
young	316,321	bn:00104589a	Concept	[wn:01646941a]	http://babelnet.org/rdf/s00104589a	null
adults	322,328	bn:00001525n	Concept	[wn:09605289n]	http://babelnet.org/rdf/s00001525n	http://dbpedia.org/resource/Adult
fight	335,340	bn:00009078n	Concept	[wn:00953559n]	http://babelnet.org/rdf/s00009078n	http://dbpedia.org/resource/Engagement_(military)
broke out	341,350	bn:00083985v	Concept	[wn:00345508v]	http://babelnet.org/rdf/s00083985v	null
male and female	361,376	bn:03382382n	Named Entity	[]	http://babelnet.org/rdf/s03382382n	http://dbpedia.org/resource/Male_and_Female_(book)
male	384,388	bn:00106354a	Concept	[wn:01476685a]	http://babelnet.org/rdf/s00106354a	null
physically	389,399	bn:00116599r	Concept	[wn:00115254r]	http://babelnet.org/rdf/s00116599r	null
assaulted	400,409	bn:00082837v	Concept	[wn:01120069v]	http://babelnet.org/rdf/s00082837v	null
female	414,420	bn:00001530n	Concept	[wn:10787470n]	http://babelnet.org/rdf/s00001530n	http://dbpedia.org/resource/Woman
guests	434,440	bn:00042090n	Concept	[wn:10150940n]	http://babelnet.org/rdf/s00042090n	null
intervened	441,451	bn:00089817v	Concept	[wn:02538765v]	http://babelnet.org/rdf/s00089817v	null
male	456,460	bn:00106354a	Concept	[wn:01476685a]	http://babelnet.org/rdf/s00106354a	null
pulled	461,467	bn:00087234v	Concept	[wn:01448100v]	http://babelnet.org/rdf/s00087234v	null
handgun	474,481	bn:00042808n	Concept	[wn:03948459n]	http://babelnet.org/rdf/s00042808n	http://dbpedia.org/resource/Handgun
began	486,491	bn:00083340v	Concept	[wn:00345761v]	http://babelnet.org/rdf/s00083340v	null
fire	495,499	bn:00088225v	Concept	[wn:01135783v]	http://babelnet.org/rdf/s00088225v	null
shots	500,505	bn:00071206n	Concept	[wn:00122661n]	http://babelnet.org/rdf/s00071206n	null
half	525,529	bn:00042602n	Concept	[wn:15257829n]	http://babelnet.org/rdf/s00042602n	null
dozen	532,537	bn:00000020n	Concept	[wn:13746785n]	http://babelnet.org/rdf/s00000020n	http://dbpedia.org/resource/12_(number)
rounds	538,544	bn:00059000n	Concept	[wn:04113641n]	http://babelnet.org/rdf/s00059000n	null
fired	550,555	bn:00088225v	Concept	[wn:01135783v]	http://babelnet.org/rdf/s00088225v	null
guests	559,565	bn:00042090n	Concept	[wn:10150940n]	http://babelnet.org/rdf/s00042090n	null
victims	574,581	bn:00079940n	Concept	[wn:10752093n]	http://babelnet.org/rdf/s00079940n	null
stuck	587,592	bn:00086626v	Concept	[wn:01528069v]	http://babelnet.org/rdf/s00086626v	null
gunfire	596,603	bn:00042242n	Concept	[wn:00123783n]	http://babelnet.org/rdf/s00042242n	http://dbpedia.org/resource/Gunshot
narrowly	615,623	bn:00116319r	Concept	[wn:00221429r]	http://babelnet.org/rdf/s00116319r	null
escaped	624,631	bn:00083978v	Concept	[wn:02074677v]	http://babelnet.org/rdf/s00083978v	null
