old	3,4	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null	old
girl	4,5	bn:00034453n	Concept	[wn:10129825n]	http://babelnet.org/rdf/s00034453n	http://dbpedia.org/resource/Girl	girl
critically	5,6	bn:00114882r	Concept	[wn:00184778r]	http://babelnet.org/rdf/s00114882r	null	critically
injured	6,7	bn:00089751v	Concept	[wn:00069879v]	http://babelnet.org/rdf/s00089751v	null	injure
shot	9,10	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null	shoot
West Valley mall	11,14	bn:02191962n	Named Entity	[]	http://babelnet.org/rdf/s02191962n	http://dbpedia.org/resource/West_Valley_Mall	West_Valley_Mall
WEST VALLEY CITY	14,17	bn:00573779n	Named Entity	[]	http://babelnet.org/rdf/s00573779n	http://dbpedia.org/resource/West_Valley_City,_Utah	West_Valley_City,_Utah
old	21,22	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null	old
girl	22,23	bn:00034453n	Concept	[wn:10129825n]	http://babelnet.org/rdf/s00034453n	http://dbpedia.org/resource/Girl	girl
hospitalized	24,25	bn:00089483v	Concept	[wn:02348927v]	http://babelnet.org/rdf/s00089483v	null	hospitalize
critical condition	26,28	bn:02436757n	Concept	[]	http://babelnet.org/rdf/s02436757n	http://dbpedia.org/resource/Medical_state	Medical_state
Saturday	28,29	bn:00068696n	Concept	[wn:15164570n]	http://babelnet.org/rdf/s00068696n	http://dbpedia.org/resource/Saturday	Saturday
shot	32,33	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null	shoot
police	35,36	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary	police
say	36,37	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null	say
gang	39,40	bn:00037243n	Concept	[wn:08244062n]	http://babelnet.org/rdf/s00037243n	http://dbpedia.org/resource/Gang	gang
related	41,42	bn:00109651a	Concept	[wn:01971237a]	http://babelnet.org/rdf/s00109651a	null	related
confrontation	42,43	bn:15286986n	Concept	[]	http://babelnet.org/rdf/s15286986n	null	Confrontation
Valley	45,46	bn:00079476n	Concept	[wn:09468604n]	http://babelnet.org/rdf/s00079476n	http://dbpedia.org/resource/Valley	valley
Fair	46,47	bn:00016141n	Concept	[wn:00519333n]	http://babelnet.org/rdf/s00016141n	http://dbpedia.org/resource/Funfair	funfair
Mall	47,48	bn:00017134n	Concept	[wn:03965456n]	http://babelnet.org/rdf/s00017134n	http://dbpedia.org/resource/The_Mall_(Cleveland)	shopping_mall
